id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2024-04-11T13:49:55;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2024-04-11T17:46:47;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2024-04-11T02:50:11;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2024-04-10T22:19:48;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2024-04-11T16:57:42;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2024-04-11T01:43:54;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2024-04-11T04:14:02;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2024-04-11T18:17:26;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2024-04-11T09:38:05;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2024-04-10T22:18:15;32637;8639
