id;first_name;last_name;email;age;language
1;Raul;Barros;DaviLucca75@yahoo.com;61512;PORTUGUESE
2;Carla;Macedo;Yago.Oliveira@live.com;36207;PORTUGUESE
3;Rebeca;Xavier;JooPedro_Santos26@gmail.com;70569;FRENCH
4;Joana;Oliveira;Yasmin_Pereira38@gmail.com;76910;ENGLISH
5;Breno;Martins;Jlio73@live.com;48829;FRENCH
6;Yango;Batista;Gustavo.Albuquerque@gmail.com;66410;PORTUGUESE
7;Lívia;Costa;Flix_Silva78@bol.com.br;57180;PORTUGUESE
8;Esther;Braga;Gustavo3@yahoo.com;8887;SPANISH
9;Sarah;Melo;Lorenzo_Macedo8@yahoo.com;83293;FRENCH
10;Mariana;Oliveira;Laura_Batista54@gmail.com;92777;PORTUGUESE
